,Session Title/Poster Group,Poster #,Presentation Time,Title,Author(s),Paper ID
0,Deep Learning,1,09:00,Finding Task-Relevant Features for Few-Shot Learning by Category Traversal,Hongyang Li; David Eigen; Samuel Dodge; Matthew Zeiler; Xiaogang Wang,5
1,,2,09:05,Edge-Labeling Graph Neural Network for Few-Shot Learning,Jongmin Kim; Taesup Kim; Sungwoong Kim; Chang D. Yoo,6340
2,,3,09:10,Generating Classification Weights With GNN Denoising Autoencoders for Few-Shot Learning,Spyros Gidaris; Nikos Komodakis,5728
3,,4,09:18,Kervolutional Neural Networks,Chen Wang; Jianfei Yang; Lihua Xie; Junsong Yuan,257
4,,5,09:23,Why ReLU Networks Yield High-Confidence Predictions Far Away From the Training Data and How to Mitigate the Problem,Matthias Hein; Maksym Andriushchenko; Julian Bitterwolf,4863
5,,6,09:28,On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions,Yusuke Tsuzuku; Issei Sato,6679
6,,7,09:36,Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization,Siyuan Qiao; Zhe Lin; Jianming Zhang; Alan L. Yuille,948
7,,8,09:41,Hardness-Aware Deep Metric Learning,Wenzhao Zheng; Zhaodong Chen; Jiwen Lu; Jie Zhou,2284
8,,9,09:46,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,Chenxi Liu; Liang-Chieh Chen; Florian Schroff; Hartwig Adam; Wei Hua; Alan L. Yuille; Li Fei-Fei,1183
9,,10,09:54,Learning Loss for Active Learning,Donggeun Yoo; In So Kweon,1535
10,,11,09:59,Striking the Right Balance With Uncertainty,Salman Khan; Munawar Hayat; Syed Waqas Zamir; Jianbing Shen; Ling Shao,2230
11,,12,10:04,AutoAugment: Learning Augmentation Strategies From Data,Ekin D. Cubuk; Barret Zoph; Dandelion Mané; Vijay Vasudevan; Quoc V. Le,2368
12,3D Multiview,72,09:00,SDRSAC: Semidefinite-Based Randomized Approach for Robust Point Cloud Registration Without Correspondences,Huu M. Le; Thanh-Toan Do; Tuan Hoang; Ngai-Man Cheung,494
13,,73,09:05,BAD SLAM: Bundle Adjusted Direct RGB-D SLAM,Thomas Schöps; Torsten Sattler; Marc Pollefeys,2315
14,,74,09:10,Revealing Scenes by Inverting Structure From Motion Reconstructions,Francesco Pittaluga; Sanjeev J. Koppal; Sing Bing Kang; Sudipta N. Sinha,2286
15,,75,09:18,Strand-Accurate Multi-View Hair Capture,Giljoo Nam; Chenglei Wu; Min H. Kim; Yaser Sheikh,1185
16,,76,09:23,DeepSDF: Learning Continuous Signed Distance Functions for Shape Representation,Jeong Joon Park; Peter Florence; Julian Straub; Richard Newcombe; Steven Lovegrove,6756
17,,77,09:28,Pushing the Boundaries of View Extrapolation With Multiplane Images,Pratul P. Srinivasan; Richard Tucker; Jonathan T. Barron; Ravi Ramamoorthi; Ren Ng; Noah Snavely,2957
18,,78,09:36,GA-Net: Guided Aggregation Net for End-To-End Stereo Matching,Feihu Zhang; Victor Prisacariu; Ruigang Yang; Philip H.S. Torr,1935
19,,79,09:41,Real-Time Self-Adaptive Deep Stereo,Alessio Tonioni; Fabio Tosi; Matteo Poggi; Stefano Mattoccia; Luigi Di Stefano,2901
20,,80,09:46,LAF-Net: Locally Adaptive Fusion Networks for Stereo Confidence Estimation,Sunok Kim; Seungryong Kim; Dongbo Min; Kwanghoon Sohn,6639
21,,81,09:54,NM-Net: Mining Reliable Neighbors for Robust Feature Correspondences,Chen Zhao; Zhiguo Cao; Chi Li; Xin Li; Jiaqi Yang,3522
22,,82,09:59,Coordinate-Free Carlsson-Weinshall Duality and Relative Multi-View Geometry,Matthew Trager; Martial Hebert; Jean Ponce,5852
23,,83,10:04,Deep Reinforcement Learning of Volume-Guided Progressive View Inpainting for 3D Point Scene Completion From a Single Depth Image,Xiaoguang Han; Zhaoxuan Zhang; Dong Du; Mingdai Yang; Jingming Yu; Pan Pan; Xin Yang; Ligang Liu; Zixiang Xiong; Shuguang Cui,1944
24,Action & Video,109,09:00,Video Action Transformer Network,Rohit Girdhar; João Carreira; Carl Doersch; Andrew Zisserman,292
25,,110,09:05,Timeception for Complex Action Recognition,Noureldien Hussein; Efstratios Gavves; Arnold W.M. Smeulders,302
26,,111,09:10,STEP: Spatio-Temporal Progressive Learning for Video Action Detection,Xitong Yang; Xiaodong Yang; Ming-Yu Liu; Fanyi Xiao; Larry S. Davis; Jan Kautz,1670
27,,112,09:18,Relational Action Forecasting,Chen Sun; Abhinav Shrivastava; Carl Vondrick; Rahul Sukthankar; Kevin Murphy; Cordelia Schmid,1745
28,,113,09:23,Long-Term Feature Banks for Detailed Video Understanding,Chao-Yuan Wu; Christoph Feichtenhofer; Haoqi Fan; Kaiming He; Philipp Krähenbühl; Ross Girshick,2310
29,,114,09:28,Which Way Are You Going? Imitative Decision Learning for Path Forecasting in Dynamic Scenes,Yuke Li,229
30,,115,09:36,What and How Well You Performed? A Multitask Learning Approach to Action Quality Assessment,Paritosh Parmar; Brendan Tran Morris,3106
31,,116,09:41,MHP-VOS: Multiple Hypotheses Propagation for Video Object Segmentation,Shuangjie Xu; Daizong Liu; Linchao Bao; Wei Liu; Pan Zhou,1382
32,,117,09:46,2.5D Visual Sound,Ruohan Gao; Kristen Grauman,1517
33,,118,09:54,Language-Driven Temporal Activity Localization: A Semantic Matching Reinforcement Learning Model,Weining Wang; Yan Huang; Liang Wang,1999
34,,119,09:59,Gaussian Temporal Awareness Networks for Action Localization,Fuchen Long; Ting Yao; Zhaofan Qiu; Xinmei Tian; Jiebo Luo; Tao Mei,5591
35,,120,10:04,Efficient Video Classification Using Fewer Frames,Shweta Bhardwaj; Mukundhan Srinivasan; Mitesh M. Khapra,6940
36,Deep Learning,1,10:15,Finding Task-Relevant Features for Few-Shot Learning by Category Traversal,Hongyang Li; David Eigen; Samuel Dodge; Matthew Zeiler; Xiaogang Wang,5
37,,2,10:15,Edge-Labeling Graph Neural Network for Few-Shot Learning,Jongmin Kim; Taesup Kim; Sungwoong Kim; Chang D. Yoo,6340
38,,3,10:15,Generating Classification Weights With GNN Denoising Autoencoders for Few-Shot Learning,Spyros Gidaris; Nikos Komodakis,5728
39,,4,10:15,Kervolutional Neural Networks,Chen Wang; Jianfei Yang; Lihua Xie; Junsong Yuan,257
40,,5,10:15,Why ReLU Networks Yield High-Confidence Predictions Far Away From the Training Data and How to Mitigate the Problem,Matthias Hein; Maksym Andriushchenko; Julian Bitterwolf,4863
41,,6,10:15,On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions,Yusuke Tsuzuku; Issei Sato,6679
42,,7,10:15,Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization,Siyuan Qiao; Zhe Lin; Jianming Zhang; Alan L. Yuille,948
43,,8,10:15,Hardness-Aware Deep Metric Learning,Wenzhao Zheng; Zhaodong Chen; Jiwen Lu; Jie Zhou,2284
44,,9,10:15,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,Chenxi Liu; Liang-Chieh Chen; Florian Schroff; Hartwig Adam; Wei Hua; Alan L. Yuille; Li Fei-Fei,1183
45,,10,10:15,Learning Loss for Active Learning,Donggeun Yoo; In So Kweon,1535
46,,11,10:15,Striking the Right Balance With Uncertainty,Salman Khan; Munawar Hayat; Syed Waqas Zamir; Jianbing Shen; Ling Shao,2230
47,,12,10:15,AutoAugment: Learning Augmentation Strategies From Data,Ekin D. Cubuk; Barret Zoph; Dandelion Mané; Vijay Vasudevan; Quoc V. Le,2368
48,,13,10:15,Parsing R-CNN for Instance-Level Human Analysis,Lu Yang; Qing Song; Zhihui Wang; Ming Jiang,143
49,,14,10:15,Large Scale Incremental Learning,Yue Wu; Yinpeng Chen; Lijuan Wang; Yuancheng Ye; Zicheng Liu; Yandong Guo; Yun Fu,306
50,,15,10:15,TopNet: Structural Point Cloud Decoder,Lyne P. Tchapmi; Vineet Kosaraju; Hamid Rezatofighi; Ian Reid; Silvio Savarese,365
51,,16,10:15,Perceive Where to Focus: Learning Visibility-Aware Part-Level Features for Partial Person Re-Identification,Yifan Sun; Qin Xu; Yali Li; Chi Zhang; Yikang Li; Shengjin Wang; Jian Sun,423
52,,17,10:15,Meta-Transfer Learning for Few-Shot Learning,Qianru Sun; Yaoyao Liu; Tat-Seng Chua; Bernt Schiele,454
53,,18,10:15,Structured Binary Neural Networks for Accurate Image Classification and Semantic Segmentation,Bohan Zhuang; Chunhua Shen; Mingkui Tan; Lingqiao Liu; Ian Reid,635
54,,19,10:15,Deep RNN Framework for Visual Sequential Applications,Bo Pang; Kaiwen Zha; Hanwen Cao; Chen Shi; Cewu Lu,686
55,,20,10:15,Graph-Based Global Reasoning Networks,Yunpeng Chen; Marcus Rohrbach; Zhicheng Yan; Yan Shuicheng; Jiashi Feng; Yannis Kalantidis,750
56,,21,10:15,SSN: Learning Sparse Switchable Normalization via SparsestMax,Wenqi Shao; Tianjian Meng; Jingyu Li; Ruimao Zhang; Yudian Li; Xiaogang Wang; Ping Luo,778
57,,22,10:15,Spherical Fractal Convolutional Neural Networks for Point Cloud Recognition,Yongming Rao; Jiwen Lu; Jie Zhou,823
58,,23,10:15,Learning to Generate Synthetic Data via Compositing,Shashank Tripathi; Siddhartha Chandra; Amit Agrawal; Ambrish Tyagi; James M. Rehg; Visesh Chari,830
59,,24,10:15,Divide and Conquer the Embedding Space for Metric Learning,Artsiom Sanakoyeu; Vadim Tschernezki; Uta Büchler; Björn Ommer,833
60,,25,10:15,Latent Space Autoregression for Novelty Detection,Davide Abati; Angelo Porrello; Simone Calderara; Rita Cucchiara,858
61,,26,10:15,Attending to Discriminative Certainty for Domain Adaptation,Vinod Kumar Kurmi; Shanu Kumar; Vinay P. Namboodiri,934
62,,27,10:15,Feature Denoising for Improving Adversarial Robustness,Cihang Xie; Yuxin Wu; Laurens van der Maaten; Alan L. Yuille; Kaiming He,1061
63,,28,10:15,Selective Kernel Networks,Xiang Li; Wenhai Wang; Xiaolin Hu; Jian Yang,1065
64,,29,10:15,On Implicit Filter Level Sparsity in Convolutional Neural Networks,Dushyant Mehta; Kwang In Kim; Christian Theobalt,1146
65,,30,10:15,FlowNet3D: Learning Scene Flow in 3D Point Clouds,Xingyu Liu; Charles R. Qi; Leonidas J. Guibas,1167
66,,31,10:15,Scene Memory Transformer for Embodied Agents in Long-Horizon Tasks,Kuan Fang; Alexander Toshev; Li Fei-Fei; Silvio Savarese,1218
67,,32,10:15,Co-Occurrent Features in Semantic Segmentation,Hang Zhang; Han Zhang; Chenguang Wang; Junyuan Xie,1222
68,,33,10:15,Bag of Tricks for Image Classification with Convolutional Neural Networks,Tong He; Zhi Zhang; Hang Zhang; Zhongyue Zhang; Junyuan Xie; Mu Li,1246
69,,34,10:15,Learning Channel-Wise Interactions for Binary Convolutional Neural Networks,Ziwei Wang; Jiwen Lu; Chenxin Tao; Jie Zhou; Qi Tian,1279
70,,35,10:15,Knowledge Adaptation for Efficient Semantic Segmentation,Tong He; Chunhua Shen; Zhi Tian; Dong Gong; Changming Sun; Youliang Yan,1290
71,,36,10:15,Parametric Noise Injection: Trainable Randomness to Improve Deep Neural Network Robustness Against Adversarial Attack,Zhezhi He; Adnan Siraj Rakin; Deliang Fan,7000
72,Recognition,37,10:15,Invariance Matters: Exemplar Memory for Domain Adaptive Person Re-Identification,Zhun Zhong; Liang Zheng; Zhiming Luo; Shaozi Li; Yi Yang,17
73,,38,10:15,Dissecting Person Re-Identification From the Viewpoint of Viewpoint,Xiaoxiao Sun; Liang Zheng,19
74,,39,10:15,Learning to Reduce Dual-Level Discrepancy for Infrared-Visible Person Re-Identification,Zhixiang Wang; Zheng Wang; Yinqiang Zheng; Yung-Yu Chuang; Shin'ichi Satoh,158
75,,40,10:15,Progressive Feature Alignment for Unsupervised Domain Adaptation,Chaoqi Chen; Weiping Xie; Wenbing Huang; Yu Rong; Xinghao Ding; Yue Huang; Tingyang Xu; Junzhou Huang,208
76,,41,10:15,Feature-Level Frankenstein: Eliminating Variations for Discriminative Recognition,Xiaofeng Liu; Site Li; Lingsheng Kong; Wanqing Xie; Ping Jia; Jane You; B.V.K. Kumar,278
77,,42,10:15,Learning a Deep ConvNet for Multi-Label Classification With Partial Labels,Thibaut Durand; Nazanin Mehrasa; Greg Mori,300
78,,43,10:15,Generalized Intersection Over Union: A Metric and a Loss for Bounding Box Regression,Hamid Rezatofighi; Nathan Tsoi; JunYoung Gwak; Amir Sadeghian; Ian Reid; Silvio Savarese,366
79,,44,10:15,Densely Semantically Aligned Person Re-Identification,Zhizheng Zhang; Cuiling Lan; Wenjun Zeng; Zhibo Chen,677
80,,45,10:15,Generalising Fine-Grained Sketch-Based Image Retrieval,Kaiyue Pang; Ke Li; Yongxin Yang; Honggang Zhang; Timothy M. Hospedales; Tao Xiang; Yi-Zhe Song,698
81,,46,10:15,Adapting Object Detectors via Selective Cross-Domain Alignment,Xinge Zhu; Jiangmiao Pang; Ceyuan Yang; Jianping Shi; Dahua Lin,764
82,,47,10:15,Cyclic Guidance for Weakly Supervised Joint Detection and Segmentation,Yunhang Shen; Rongrong Ji; Yan Wang; Yongjian Wu; Liujuan Cao,774
83,,48,10:15,Thinking Outside the Pool: Active Training Image Creation for Relative Attributes,Aron Yu; Kristen Grauman,802
84,,49,10:15,Generalizable Person Re-Identification by Domain-Invariant Mapping Network,Jifei Song; Yongxin Yang; Yi-Zhe Song; Tao Xiang; Timothy M. Hospedales,848
85,,50,10:15,Visual Attention Consistency Under Image Transforms for Multi-Label Image Classification,Hao Guo; Kang Zheng; Xiaochuan Fan; Hongkai Yu; Song Wang,851
86,,51,10:15,Re-Ranking via Metric Fusion for Object Retrieval and Person Re-Identification,Song Bai; Peng Tang; Philip H.S. Torr; Longin Jan Latecki,866
87,,52,10:15,Unsupervised Open Domain Recognition by Semantic Discrepancy Minimization,Junbao Zhuo; Shuhui Wang; Shuhao Cui; Qingming Huang,956
88,,53,10:15,Weakly Supervised Person Re-Identification,Jingke Meng; Sheng Wu; Wei-Shi Zheng,964
89,,54,10:15,PointRCNN: 3D Object Proposal Generation and Detection From Point Cloud,Shaoshuai Shi; Xiaogang Wang; Hongsheng Li,993
90,,55,10:15,Automatic Adaptation of Object Detectors to New Domains Using Self-Training,Aruni RoyChowdhury; Prithvijit Chakrabarty; Ashish Singh; SouYoung Jin; Huaizu Jiang; Liangliang Cao; Erik Learned-Miller,1023
91,,56,10:15,Deep Sketch-Shape Hashing With Segmented 3D Stochastic Viewing,Jiaxin Chen; Jie Qin; Li Liu; Fan Zhu; Fumin Shen; Jin Xie; Ling Shao,1050
92,,57,10:15,Generative Dual Adversarial Network for Generalized Zero-Shot Learning,He Huang; Changhu Wang; Philip S. Yu; Chang-Dong Wang,1062
93,,58,10:15,Query-Guided End-To-End Person Search,Bharti Munjal; Sikandar Amin; Federico Tombari; Fabio Galasso,1115
94,,59,10:15,Libra R-CNN: Towards Balanced Learning for Object Detection,Jiangmiao Pang; Kai Chen; Jianping Shi; Huajun Feng; Wanli Ouyang; Dahua Lin,1128
95,,60,10:15,Learning a Unified Classifier Incrementally via Rebalancing,Saihui Hou; Xinyu Pan; Chen Change Loy; Zilei Wang; Dahua Lin,1165
96,,61,10:15,Feature Selective Anchor-Free Module for Single-Shot Object Detection,Chenchen Zhu; Yihui He; Marios Savvides,1260
97,,62,10:15,Bottom-Up Object Detection by Grouping Extreme and Center Points,Xingyi Zhou; Jiacheng Zhuo; Philipp Krähenbühl,1324
98,,63,10:15,Feature Distillation: DNN-Oriented JPEG Compression Against Adversarial Examples,Zihao Liu; Qi Liu; Tao Liu; Nuo Xu; Xue Lin; Yanzhi Wang; Wujie Wen,6349
99,"Segmentation, Grouping, & Shape",64,10:15,SCOPS: Self-Supervised Co-Part Segmentation,Wei-Chih Hung; Varun Jampani; Sifei Liu; Pavlo Molchanov; Ming-Hsuan Yang; Jan Kautz,68
100,,65,10:15,Unsupervised Moving Object Detection via Contextual Information Separation,Yanchao Yang; Antonio Loquercio; Davide Scaramuzza; Stefano Soatto,838
101,,66,10:15,Pose2Seg: Detection Free Human Instance Segmentation,Song-Hai Zhang; Ruilong Li; Xin Dong; Paul Rosin; Zixi Cai; Xi Han; Dingcheng Yang; Haozhi Huang; Shi-Min Hu,1291
102,"Statistics, Physics, Theory, & Datasets",67,10:15,DrivingStereo: A Large-Scale Dataset for Stereo Matching in Autonomous Driving Scenarios,Guorun Yang; Xiao Song; Chaoqin Huang; Zhidong Deng; Jianping Shi; Bolei Zhou,156
103,,68,10:15,PartNet: A Large-Scale Benchmark for Fine-Grained and Hierarchical Part-Level 3D Object Understanding,Kaichun Mo; Shilin Zhu; Angel X. Chang; Li Yi; Subarna Tripathi; Leonidas J. Guibas; Hao Su,177
104,,69,10:15,A Dataset and Benchmark for Large-Scale Multi-Modal Face Anti-Spoofing,Shifeng Zhang; Xiaobo Wang; Ajian Liu; Chenxu Zhao; Jun Wan; Sergio Escalera; Hailin Shi; Zezheng Wang; Stan Z. Li,503
105,,70,10:15,Unsupervised Learning of Consensus Maximization for 3D Vision Problems,Thomas Probst; Danda Pani Paudel; Ajad Chhatkuli; Luc Van Gool,1047
106,,71,10:15,VizWiz-Priv: A Dataset for Recognizing the Presence and Purpose of Private Visual Information in Images Taken by Blind People,Danna Gurari; Qing Li; Chi Lin; Yinan Zhao; Anhong Guo; Abigale Stangl; Jeffrey P. Bigham,1257
107,3D Multiview,72,10:15,SDRSAC: Semidefinite-Based Randomized Approach for Robust Point Cloud Registration Without Correspondences,Huu M. Le; Thanh-Toan Do; Tuan Hoang; Ngai-Man Cheung,494
108,,73,10:15,BAD SLAM: Bundle Adjusted Direct RGB-D SLAM,Thomas Schöps; Torsten Sattler; Marc Pollefeys,2315
109,,74,10:15,Revealing Scenes by Inverting Structure From Motion Reconstructions,Francesco Pittaluga; Sanjeev J. Koppal; Sing Bing Kang; Sudipta N. Sinha,2286
110,,75,10:15,Strand-Accurate Multi-View Hair Capture,Giljoo Nam; Chenglei Wu; Min H. Kim; Yaser Sheikh,1185
111,,76,10:15,DeepSDF: Learning Continuous Signed Distance Functions for Shape Representation,Jeong Joon Park; Peter Florence; Julian Straub; Richard Newcombe; Steven Lovegrove,6756
112,,77,10:15,Pushing the Boundaries of View Extrapolation With Multiplane Images,Pratul P. Srinivasan; Richard Tucker; Jonathan T. Barron; Ravi Ramamoorthi; Ren Ng; Noah Snavely,2957
113,,78,10:15,GA-Net: Guided Aggregation Net for End-To-End Stereo Matching,Feihu Zhang; Victor Prisacariu; Ruigang Yang; Philip H.S. Torr,1935
114,,79,10:15,Real-Time Self-Adaptive Deep Stereo,Alessio Tonioni; Fabio Tosi; Matteo Poggi; Stefano Mattoccia; Luigi Di Stefano,2901
115,,80,10:15,LAF-Net: Locally Adaptive Fusion Networks for Stereo Confidence Estimation,Sunok Kim; Seungryong Kim; Dongbo Min; Kwanghoon Sohn,6639
116,,81,10:15,NM-Net: Mining Reliable Neighbors for Robust Feature Correspondences,Chen Zhao; Zhiguo Cao; Chi Li; Xin Li; Jiaqi Yang,3522
117,,82,10:15,Coordinate-Free Carlsson-Weinshall Duality and Relative Multi-View Geometry,Matthew Trager; Martial Hebert; Jean Ponce,5852
118,,83,10:15,Deep Reinforcement Learning of Volume-Guided Progressive View Inpainting for 3D Point Scene Completion From a Single Depth Image,Xiaoguang Han; Zhaoxuan Zhang; Dong Du; Mingdai Yang; Jingming Yu; Pan Pan; Xin Yang; Ligang Liu; Zixiang Xiong; Shuguang Cui,1944
119,,84,10:15,Structural Relational Reasoning of Point Clouds,Yueqi Duan; Yu Zheng; Jiwen Lu; Jie Zhou; Qi Tian,476
120,,85,10:15,MVF-Net: Multi-View 3D Face Morphable Model Regression,Fanzi Wu; Linchao Bao; Yajing Chen; Yonggen Ling; Yibing Song; Songnan Li; King Ngi Ngan; Wei Liu,666
121,,86,10:15,Photometric Mesh Optimization for Video-Aligned 3D Object Reconstruction,Chen-Hsuan Lin; Oliver Wang; Bryan C. Russell; Eli Shechtman; Vladimir G. Kim; Matthew Fisher; Simon Lucey,787
122,,87,10:15,Guided Stereo Matching,Matteo Poggi; Davide Pallotti; Fabio Tosi; Stefano Mattoccia,1011
123,,88,10:15,"Unsupervised Event-Based Learning of Optical Flow, Depth, and Egomotion",Alex Zihao Zhu; Liangzhe Yuan; Kenneth Chaney; Kostas Daniilidis,1191
124,,89,10:15,Modeling Local Geometric Structure of 3D Point Clouds Using Geo-CNN,Shiyi Lan; Ruichi Yu; Gang Yu; Larry S. Davis,1221
125,3D Single View & RGBD,90,10:15,3D Point Capsule Networks,Yongheng Zhao; Tolga Birdal; Haowen Deng; Federico Tombari,155
126,,91,10:15,GS3D: An Efficient 3D Object Detection Framework for Autonomous Driving,Buyu Li; Wanli Ouyang; Lu Sheng; Xingyu Zeng; Xiaogang Wang,226
127,,92,10:15,Single-Image Piece-Wise Planar 3D Reconstruction via Associative Embedding,Zehao Yu; Jia Zheng; Dongze Lian; Zihan Zhou; Shenghua Gao,348
128,,93,10:15,3DN: 3D Deformation Network,Weiyue Wang; Duygu Ceylan; Radomir Mech; Ulrich Neumann,593
129,,94,10:15,HorizonNet: Learning Room Layout With 1D Representation and Pano Stretch Data Augmentation,Cheng Sun; Chi-Wei Hsiao; Min Sun; Hwann-Tzong Chen,1073
130,,95,10:15,Deep Fitting Degree Scoring Network for Monocular 3D Object Detection,Lijie Liu; Jiwen Lu; Chunjing Xu; Qi Tian; Jie Zhou,1077
131,Face & Body,96,10:15,Pushing the Envelope for RGB-Based Dense 3D Hand Pose Estimation via Neural Rendering,Seungryul Baek; Kwang In Kim; Tae-Kyun Kim,55
132,,97,10:15,Self-Supervised Learning of 3D Human Pose Using Multi-View Geometry,Muhammed Kocabas; Salih Karagoz; Emre Akbas,117
133,,98,10:15,FSA-Net: Learning Fine-Grained Structure Aggregation for Head Pose Estimation From a Single Image,Tsun-Yi Yang; Yi-Ting Chen; Yen-Yu Lin; Yung-Yu Chuang,191
134,,99,10:15,Dense 3D Face Decoding Over 2500FPS: Joint Texture & Shape Convolutional Mesh Decoders,Yuxiang Zhou; Jiankang Deng; Irene Kotsia; Stefanos Zafeiriou,332
135,,100,10:15,Does Learning Specific Features for Related Parts Help Human Pose Estimation?,Wei Tang; Ying Wu,370
136,,101,10:15,Linkage Based Face Clustering via Graph Convolution Network,Zhongdao Wang; Liang Zheng; Yali Li; Shengjin Wang,410
137,,102,10:15,Towards High-Fidelity Nonlinear 3D Face Morphable Model,Luan Tran; Feng Liu; Xiaoming Liu,514
138,,103,10:15,RegularFace: Deep Face Recognition via Exclusive Regularization,Kai Zhao; Jingyi Xu; Ming-Ming Cheng,552
139,,104,10:15,BridgeNet: A Continuity-Aware Probabilistic Network for Age Estimation,Wanhua Li; Jiwen Lu; Jianjiang Feng; Chunjing Xu; Jie Zhou; Qi Tian,808
140,,105,10:15,GANFIT: Generative Adversarial Network Fitting for High Fidelity 3D Face Reconstruction,Baris Gecer; Stylianos Ploumpis; Irene Kotsia; Stefanos Zafeiriou,821
141,,106,10:15,Improving the Performance of Unimodal Dynamic Hand-Gesture Recognition With Multimodal Training,Mahdi Abavisani; Hamid Reza Vaezi Joze; Vishal M. Patel,984
142,,107,10:15,Learning to Reconstruct People in Clothing From a Single RGB Camera,Thiemo Alldieck; Marcus Magnor; Bharat Lal Bhatnagar; Christian Theobalt; Gerard Pons-Moll,1043
143,,108,10:15,Distilled Person Re-Identification: Towards a More Scalable System,Ancong Wu; Wei-Shi Zheng; Xiaowei Guo; Jian-Huang Lai,1157
144,Action & Video,109,10:15,Video Action Transformer Network,Rohit Girdhar; João Carreira; Carl Doersch; Andrew Zisserman,292
145,,110,10:15,Timeception for Complex Action Recognition,Noureldien Hussein; Efstratios Gavves; Arnold W.M. Smeulders,302
146,,111,10:15,STEP: Spatio-Temporal Progressive Learning for Video Action Detection,Xitong Yang; Xiaodong Yang; Ming-Yu Liu; Fanyi Xiao; Larry S. Davis; Jan Kautz,1670
147,,112,10:15,Relational Action Forecasting,Chen Sun; Abhinav Shrivastava; Carl Vondrick; Rahul Sukthankar; Kevin Murphy; Cordelia Schmid,1745
148,,113,10:15,Long-Term Feature Banks for Detailed Video Understanding,Chao-Yuan Wu; Christoph Feichtenhofer; Haoqi Fan; Kaiming He; Philipp Krähenbühl; Ross Girshick,2310
149,,114,10:15,Which Way Are You Going? Imitative Decision Learning for Path Forecasting in Dynamic Scenes,Yuke Li,229
150,,115,10:15,What and How Well You Performed? A Multitask Learning Approach to Action Quality Assessment,Paritosh Parmar; Brendan Tran Morris,3106
151,,116,10:15,MHP-VOS: Multiple Hypotheses Propagation for Video Object Segmentation,Shuangjie Xu; Daizong Liu; Linchao Bao; Wei Liu; Pan Zhou,1382
152,,117,10:15,2.5D Visual Sound,Ruohan Gao; Kristen Grauman,1517
153,,118,10:15,Language-Driven Temporal Activity Localization: A Semantic Matching Reinforcement Learning Model,Weining Wang; Yan Huang; Liang Wang,1999
154,,119,10:15,Gaussian Temporal Awareness Networks for Action Localization,Fuchen Long; Ting Yao; Zhaofan Qiu; Xinmei Tian; Jiebo Luo; Tao Mei,5591
155,,120,10:15,Efficient Video Classification Using Fewer Frames,Shweta Bhardwaj; Mukundhan Srinivasan; Mitesh M. Khapra,6940
156,,121,10:15,A Perceptual Prediction Framework for Self Supervised Event Segmentation,Sathyanarayanan N. Aakur; Sudeep Sarkar,239
157,,122,10:15,COIN: A Large-Scale Dataset for Comprehensive Instructional Video Analysis,Yansong Tang; Dajun Ding; Yongming Rao; Yu Zheng; Danyang Zhang; Lili Zhao; Jiwen Lu; Jie Zhou,260
158,,123,10:15,Recurrent Attentive Zooming for Joint Crowd Counting and Precise Localization,Chenchen Liu; Xinyu Weng; Yadong Mu,484
159,,124,10:15,An Attention Enhanced Graph Convolutional LSTM Network for Skeleton-Based Action Recognition,Chenyang Si; Wentao Chen; Wei Wang; Liang Wang; Tieniu Tan,662
160,,125,10:15,Graph Convolutional Label Noise Cleaner: Train a Plug-And-Play Action Classifier for Anomaly Detection,Jia-Xing Zhong; Nannan Li; Weijie Kong; Shan Liu; Thomas H. Li; Ge Li,727
161,,126,10:15,MAN: Moment Alignment Network for Natural Language Moment Retrieval via Iterative Graph Adjustment,Da Zhang; Xiyang Dai; Xin Wang; Yuan-Fang Wang; Larry S. Davis,747
162,,127,10:15,Less Is More: Learning Highlight Detection From Video Duration,Bo Xiong; Yannis Kalantidis; Deepti Ghadiyaram; Kristen Grauman,762
163,,128,10:15,DMC-Net: Generating Discriminative Motion Cues for Fast Compressed Video Action Recognition,Zheng Shou; Xudong Lin; Yannis Kalantidis; Laura Sevilla-Lara; Marcus Rohrbach; Shih-Fu Chang; Zhicheng Yan,1054
164,,129,10:15,AdaFrame: Adaptive Frame Selection for Fast Video Recognition,Zuxuan Wu; Caiming Xiong; Chih-Yao Ma; Richard Socher; Larry S. Davis,1099
165,,130,10:15,Spatio-Temporal Video Re-Localization by Warp LSTM,Yang Feng; Lin Ma; Wei Liu; Jiebo Luo,1134
166,,131,10:15,Completeness Modeling and Context Separation for Weakly Supervised Temporal Action Localization,Daochang Liu; Tingting Jiang; Yizhou Wang,1273
167,Motion & Biometrics,132,10:15,Unsupervised Deep Tracking,Ning Wang; Yibing Song; Chao Ma; Wengang Zhou; Wei Liu; Houqiang Li,629
168,,133,10:15,Tracking by Animation: Unsupervised Learning of Multi-Object Attentive Trackers,Zhen He; Jian Li; Daxue Liu; Hangen He; David Barber,648
169,,134,10:15,Fast Online Object Tracking and Segmentation: A Unifying Approach,Qiang Wang; Li Zhang; Luca Bertinetto; Weiming Hu; Philip H.S. Torr,699
