,Session Title/Poster Group,Poster #,Presentation Time,Title,Author(s),Paper ID
629,,64,10:00,High-Level Semantic Feature Detection: A New Perspective for Pedestrian Detection,Wei Liu; Shengcai Liao; Weiqiang Ren; Weidong Hu; Yinan Yu,3171
630,,65,10:00,RepMet: Representative-Based Metric Learning for Classification and Few-Shot Object Detection,Leonid Karlinsky; Joseph Shtok; Sivan Harary; Eli Schwartz; Amit Aides; Rogerio Feris; Raja Giryes; Alex M. Bronstein,3199
631,,66,10:00,Ranked List Loss for Deep Metric Learning,Xinshao Wang; Yang Hua; Elyor Kodirov; Guosheng Hu; Romain Garnier; Neil M. Robertson,3211
632,,67,10:00,CANet: Class-Agnostic Segmentation Networks With Iterative Refinement and Attentive Few-Shot Learning,Chi Zhang; Guosheng Lin; Fayao Liu; Rui Yao; Chunhua Shen,3315
633,,68,10:00,Precise Detection in Densely Packed Scenes,Eran Goldman; Roei Herzig; Aviv Eisenschtat; Jacob Goldberger; Tal Hassner,5953
634,"Segmentation, Grouping, & Shape",69,10:00,KE-GAN: Knowledge Embedded Generative Adversarial Networks for Semi-Supervised Scene Parsing,Mengshi Qi; Yunhong Wang; Jie Qin; Annan Li,2188
635,,70,10:00,Fast User-Guided Video Object Segmentation by Interaction-And-Propagation Networks,Seoung Wug Oh; Joon-Young Lee; Ning Xu; Seon Joo Kim,2338
636,,71,10:00,Fast Interactive Object Annotation With Curve-GCN,Huan Ling; Jun Gao; Amlan Kar; Wenzheng Chen; Sanja Fidler,2589
637,,72,10:00,FickleNet: Weakly and Semi-Supervised Semantic Image Segmentation Using Stochastic Inference,Jungbeom Lee; Eunji Kim; Sungmin Lee; Jangho Lee; Sungroh Yoon,2658
638,,73,10:00,RVOS: End-To-End Recurrent Network for Video Object Segmentation,Carles Ventura; Miriam Bellver; Andreu Girbau; Amaia Salvador; Ferran Marques; Xavier Giro-i-Nieto,2722
639,,74,10:00,DeepFlux for Skeletons in the Wild,Yukang Wang; Yongchao Xu; Stavros Tsogkas; Xiang Bai; Sven Dickinson; Kaleem Siddiqi,2878
640,,75,10:00,Interactive Image Segmentation via Backpropagating Refinement Scheme,Won-Dong Jang; Chang-Su Kim,3244
641,,76,10:00,Scene Parsing via Integrated Classification Model and Variance-Based Regularization,Hengcan Shi; Hongliang Li; Qingbo Wu; Zichen Song,3253
642,"Statistics, Physics, Theory, & Datasets",77,10:00,RAVEN: A Dataset for Relational and Analogical Visual REasoNing,Chi Zhang; Feng Gao; Baoxiong Jia; Yixin Zhu; Song-Chun Zhu,2208
643,,78,10:00,Surface Reconstruction From Normals: A Robust DGP-Based Discontinuity Preservation Approach,Wuyuan Xie; Miaohui Wang; Mingqiang Wei; Jianmin Jiang; Jing Qin,2212
644,,79,10:00,"DeepFashion2: A Versatile Benchmark for Detection, Pose Estimation, Segmentation and Re-Identification of Clothing Images",Yuying Ge; Ruimao Zhang; Xiaogang Wang; Xiaoou Tang; Ping Luo,2273
645,,80,10:00,Jumping Manifolds: Geometry Aware Dense Non-Rigid Structure From Motion,Suryansh Kumar,2278
