,Paper ID,Title,Author(s)
0,52,Embodied Question Answering,Abhishek Das ; Samyak Datta ; Georgia Gkioxari ; Stefan Lee ; Devi Parikh ; Dhruv Batra 
1,120,Learning by Asking Questions,Ishan Misra ; Ross Girshick ; Rob Fergus ; Martial Hebert ; Abhinav Gupta ; Laurens van der Maaten 
2,565,Finding Tiny Faces in the Wild With Generative Adversarial Network,Yancheng Bai ; Yongqiang Zhang ; Mingli Ding ; Bernard Ghanem 
3,3633,Learning Face Age Progression: A Pyramid Architecture of GANs,Hongyu Yang ; Di Huang ; Yunhong Wang ; Anil K. Jain 
4,3623,PairedCycleGAN: Asymmetric Style Transfer for Applying and Removing Makeup,Huiwen Chang ; Jingwan Lu ; Fisher Yu ; Adam Finkelstein 
5,736,GANerated Hands for Real-Time 3D Hand Tracking From Monocular RGB,Franziska Mueller ; Florian Bernard ; Oleksandr Sotnychenko ; Dushyant Mehta ; Srinath Sridhar ; Dan Casas ; Christian Theobalt 
6,1772,Learning Pose Specific Representations by Predicting Different Views,Georg Poier ; David Schinagl ; Horst Bischof 
7,2130,Weakly and Semi Supervised Human Body Part Parsing via Pose-Guided Knowledge Transfer,Hao-Shu Fang ; Guansong Lu ; Xiaolin Fang ; Jianwen Xie ; Yu-Wing Tai ; Cewu Lu 
8,2672,Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,Longhui Wei ; Shiliang Zhang ; Wen Gao ; Qi Tian 
9,3284,Cross-Modal Deep Variational Hand Pose Estimation,Adrian Spurr ; Jie Song ; Seonwook Park ; Otmar Hilliges 
10,1801,Disentangled Person Image Generation,Liqian Ma ; Qianru Sun ; Stamatios Georgoulis ; Luc Van Gool ; Bernt Schiele ; Mario Fritz 
11,568,Super-FAN: Integrated Facial Landmark Localization and Super-Resolution of Real-World Low Resolution Faces in Arbitrary Poses With GANs,Adrian Bulat ; Georgios Tzimiropoulos 
12,1621,Multistage Adversarial Losses for Pose-Based Human Image Synthesis,Chenyang Si ; Wei Wang ; Liang Wang ; Tieniu Tan 
13,984,Rotation Averaging and Strong Duality,Anders Eriksson ; Carl Olsson ; Fredrik Kahl ; Tat-Jun Chin 
14,2462,Hybrid Camera Pose Estimation,Federico Camposeco ; Andrea Cohen ; Marc Pollefeys ; Torsten Sattler 
15,3968,A Certifiably Globally Optimal Solution to the Non-Minimal Relative Pose Problem,Jesus Briales ; Laurent Kneip ; Javier Gonzalez-Jimenez 
16,2956,Single View Stereo Matching,Yue Luo ; Jimmy Ren ; Mude Lin ; Jiahao Pang ; Wenxiu Sun ; Hongsheng Li ; Liang Lin 
17,2980,Fight Ill-Posedness With Ill-Posedness: Single-Shot Variational Depth Super-Resolution From Shading,Bjoern Haefner ; Yvain Qu̩au ; Thomas M̦llenhoff ; Daniel Cremers 
18,3324,Deep Depth Completion of a Single RGB-D Image,Yinda Zhang ; Thomas Funkhouser 
19,142,Multi-View Harmonized Bilinear Network for 3D Object Recognition,Tan Yu ; Jingjing Meng ; Junsong Yuan 
20,1025,PPFNet: Global Context Aware Local Features for Robust 3D Point Matching,Haowen Deng ; Tolga Birdal ; Slobodan Ilic 
21,1129,FoldingNet: Point Cloud Auto-Encoder via Deep Grid Deformation,Yaoqing Yang ; Chen Feng ; Yiru Shen ; Dong Tian 
22,1775,A Papier-M̢ch̩ Approach to Learning 3D Surface Generation,Thibault Groueix ; Matthew Fisher ; Vladimir G. Kim ; Bryan C. Russell ; Mathieu Aubry 
23,2629,LEGO: Learning Edge With Geometry All at Once by Watching Videos,Zhenheng Yang ; Peng Wang ; Yang Wang ; Wei Xu ; Ram Nevatia 
24,52,Embodied Question Answering,Abhishek Das ; Samyak Datta ; Georgia Gkioxari ; Stefan Lee ; Devi Parikh ; Dhruv Batra 
25,120,Learning by Asking Questions,Ishan Misra ; Ross Girshick ; Rob Fergus ; Martial Hebert ; Abhinav Gupta ; Laurens van der Maaten 
26,565,Finding Tiny Faces in the Wild With Generative Adversarial Network,Yancheng Bai ; Yongqiang Zhang ; Mingli Ding ; Bernard Ghanem 
27,3633,Learning Face Age Progression: A Pyramid Architecture of GANs,Hongyu Yang ; Di Huang ; Yunhong Wang ; Anil K. Jain 
28,3623,PairedCycleGAN: Asymmetric Style Transfer for Applying and Removing Makeup,Huiwen Chang ; Jingwan Lu ; Fisher Yu ; Adam Finkelstein 
29,736,GANerated Hands for Real-Time 3D Hand Tracking From Monocular RGB,Franziska Mueller ; Florian Bernard ; Oleksandr Sotnychenko ; Dushyant Mehta ; Srinath Sridhar ; Dan Casas ; Christian Theobalt 
30,1772,Learning Pose Specific Representations by Predicting Different Views,Georg Poier ; David Schinagl ; Horst Bischof 
31,2130,Weakly and Semi Supervised Human Body Part Parsing via Pose-Guided Knowledge Transfer,Hao-Shu Fang ; Guansong Lu ; Xiaolin Fang ; Jianwen Xie ; Yu-Wing Tai ; Cewu Lu 
32,2672,Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,Longhui Wei ; Shiliang Zhang ; Wen Gao ; Qi Tian 
33,3284,Cross-Modal Deep Variational Hand Pose Estimation,Adrian Spurr ; Jie Song ; Seonwook Park ; Otmar Hilliges 
34,1801,Disentangled Person Image Generation,Liqian Ma ; Qianru Sun ; Stamatios Georgoulis ; Luc Van Gool ; Bernt Schiele ; Mario Fritz 
35,568,Super-FAN: Integrated Facial Landmark Localization and Super-Resolution of Real-World Low Resolution Faces in Arbitrary Poses With GANs,Adrian Bulat ; Georgios Tzimiropoulos 
36,1621,Multistage Adversarial Losses for Pose-Based Human Image Synthesis,Chenyang Si ; Wei Wang ; Liang Wang ; Tieniu Tan 
37,984,Rotation Averaging and Strong Duality,Anders Eriksson ; Carl Olsson ; Fredrik Kahl ; Tat-Jun Chin 
38,2462,Hybrid Camera Pose Estimation,Federico Camposeco ; Andrea Cohen ; Marc Pollefeys ; Torsten Sattler 
39,3968,A Certifiably Globally Optimal Solution to the Non-Minimal Relative Pose Problem,Jesus Briales ; Laurent Kneip ; Javier Gonzalez-Jimenez 
40,2956,Single View Stereo Matching,Yue Luo ; Jimmy Ren ; Mude Lin ; Jiahao Pang ; Wenxiu Sun ; Hongsheng Li ; Liang Lin 
41,2980,Fight Ill-Posedness With Ill-Posedness: Single-Shot Variational Depth Super-Resolution From Shading,Bjoern Haefner ; Yvain Qu̩au ; Thomas M̦llenhoff ; Daniel Cremers 
42,3324,Deep Depth Completion of a Single RGB-D Image,Yinda Zhang ; Thomas Funkhouser 
43,142,Multi-View Harmonized Bilinear Network for 3D Object Recognition,Tan Yu ; Jingjing Meng ; Junsong Yuan 
44,1025,PPFNet: Global Context Aware Local Features for Robust 3D Point Matching,Haowen Deng ; Tolga Birdal ; Slobodan Ilic 
45,1129,FoldingNet: Point Cloud Auto-Encoder via Deep Grid Deformation,Yaoqing Yang ; Chen Feng ; Yiru Shen ; Dong Tian 
46,1775,A Papier-M̢ch̩ Approach to Learning 3D Surface Generation,Thibault Groueix ; Matthew Fisher ; Vladimir G. Kim ; Bryan C. Russell ; Mathieu Aubry 
47,2629,LEGO: Learning Edge With Geometry All at Once by Watching Videos,Zhenheng Yang ; Peng Wang ; Yang Wang ; Wei Xu ; Ram Nevatia 
48,363,Five-Point Fundamental Matrix Estimation for Uncalibrated Cameras,Daniel Barath 
49,766,PointFusion: Deep Sensor Fusion for 3D Bounding Box Estimation,Danfei Xu ; Dragomir Anguelov ; Ashesh Jain 
50,1350,Scalable Dense Non-Rigid Structure-From-Motion: A Grassmannian Perspective,Suryansh Kumar ; Anoop Cherian ; Yuchao Dai ; Hongdong Li 
51,1389,GVCNN: Group-View Convolutional Neural Networks for 3D Shape Recognition,Yifan Feng ; Zizhao Zhang ; Xibin Zhao ; Rongrong Ji ; Yue Gao 
52,2455,Depth and Transient Imaging With Compressive SPAD Array Cameras,Qilin Sun ; Xiong Dun ; Yifan Peng ; Wolfgang Heidrich 
53,2837,GeoNet: Geometric Neural Network for Joint Depth and Surface Normal Estimation,Xiaojuan Qi ; Renjie Liao ; Zhengzhe Liu ; Raquel Urtasun ; Jiaya Jia 
54,3117,Real-Time Seamless Single Shot 6D Object Pose Prediction,Bugra Tekin ; Sudipta N. Sinha ; Pascal Fua 
55,757,"Factoring Shape, Pose, and Layout From the 2D Image of a 3D Scene",Shubham Tulsiani ; Saurabh Gupta ; David F. Fouhey ; Alexei A. Efros ; Jitendra Malik 
56,944,Monocular Relative Depth Perception With Web Stereo Data Supervision,Ke Xian ; Chunhua Shen ; Zhiguo Cao ; Hao Lu ; Yang Xiao ; Ruibo Li ; Zhenbo Luo 
57,2138,Spline Error Weighting for Robust Visual-Inertial Fusion,Hannes Ovr̩n ; Per-Erik Forss̩n 
58,2873,Single-Image Depth Estimation Based on Fourier Domain Analysis,Jae-Han Lee ; Minhyeok Heo ; Kyung-Rae Kim ; Chang-Su Kim 
59,4186,Unsupervised Learning of Monocular Depth Estimation and Visual Odometry With Deep Feature Reconstruction,Huangying Zhan ; Ravi Garg ; Chamara Saroj Weerasekera ; Kejie Li ; Harsh Agarwal  Reid 
60,122,Detect-and-Track: Efficient Pose Estimation in Videos,Rohit Girdhar ; Georgia Gkioxari ; Lorenzo Torresani ; Manohar Paluri ; Du Tran 
61,191,Supervision-by-Registration: An Unsupervised Approach to Improve the Precision of Facial Landmark Detectors,Xuanyi Dong ; Shoou-I Yu ; Xinshuo Weng ; Shih-En Wei ; Yi Yang ; Yaser Sheikh 
62,312,Diversity Regularized Spatiotemporal Attention for Video-Based Person Re-Identification,Shuang Li ; Slawomir Bak ; Peter Carr ; Xiaogang Wang 
63,436,Style Aggregated Network for Facial Landmark Detection,Xuanyi Dong ; Yan Yan ; Wanli Ouyang ; Yi Yang 
64,615,Learning Deep Models for Face Anti-Spoofing: Binary or Auxiliary Supervision,Yaojie Liu ; Amin Jourabloo ; Xiaoming Liu 
65,680,Deep Cost-Sensitive and Order-Preserving Feature Learning for Cross-Population Age Estimation,Kai Li ; Junliang Xing ; Chi Su ; Weiming Hu ; Yundong Zhang ; Stephen Maybank 
66,683,First-Person Hand Action Benchmark With RGB-D Videos and 3D Hand Pose Annotations,Guillermo Garcia-Hernando ; Shanxin Yuan ; Seungryul Baek ; Tae-Kyun Kim 
67,1114,A Pose-Sensitive Embedding for Person Re-Identification With Expanded Cross Neighborhood Re-Ranking,M. Saquib Sarfraz ; Arne Schumann ; Andreas Eberle ; Rainer Stiefelhagen 
68,1230,Disentangling 3D Pose in a Dendritic CNN for Unconstrained 2D Face Alignment,Amit Kumar ; Rama Chellappa 
69,1895,A Hierarchical Generative Model for Eye Image Synthesis and Eye Gaze Estimation,Kang Wang ; Rui Zhao ; Qiang Ji 
70,2097,MiCT: Mixed 3D/2D Convolutional Tube for Human Action Recognition,Yizhou Zhou ; Xiaoyan Sun ; Zheng-Jun Zha ; Wenjun Zeng 
71,3736,Learning to Estimate 3D Human Pose and Shape From a Single Color Image,Georgios Pavlakos ; Luyang Zhu ; Xiaowei Zhou ; Kostas Daniilidis 
72,182,Glimpse Clouds: Human Activity Recognition From Unstructured Feature Points,Fabien Baradel ; Christian Wolf ; Julien Mille ; Graham W. Taylor 
73,892,Context-Aware Deep Feature Compression for High-Speed Visual Tracking,Jongwon Choi ; Hyung Jin Chang ; Tobias Fischer ; Sangdoo Yun ; Kyuewang Lee ; Jiyeoup Jeong ; Yiannis Demiris ; Jin Young Choi 
74,1494,Correlation Tracking via Joint Discrimination and Reliability Learning,Chong Sun ; Dong Wang ; Huchuan Lu ; Ming-Hsuan Yang 
75,1790,PhaseNet for Video Frame Interpolation,Simone Meyer ; Abdelaziz Djelouah ; Brian McWilliams ; Alexander Sorkine-Hornung ; Markus Gross ; Christopher Schroers 
76,569,The Best of Both Worlds: Combining CNNs and Geometric Constraints for Hierarchical Motion Segmentation,Pia Bideau ; Aruni RoyChowdhury ; Rakesh R. Menon ; Erik Learned-Miller 
77,1194,Hyperparameter Optimization for Tracking With Continuous Deep Q-Learning,Xingping Dong ; Jianbing Shen ; Wenguan Wang ; Yu Liu ; Ling Shao ; Fatih Porikli 
78,1376,Scale-Transferrable Object Detection,Peng Zhou ; Bingbing Ni ; Cong Geng ; Jianguo Hu ; Yi Xu 
